customerID,Churn,account.Contract,account.PaymentMethod,internet.InternetService,customer.tenure,account.MonthlyCharges,account.TotalCharges,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,phone.PhoneService,phone.MultipleLines,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.PaperlessBilling
2856-NNASM,Yes,Month-to-month,Mailed check,Fiber optic,43,89.55,3856.75,Male,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
2858-EIMXH,No,One year,Credit card (automatic),Fiber optic,53,95.85,5016.25,Female,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
2858-MOFSQ,Yes,One year,Mailed check,DSL,17,55.85,937.5,Female,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes
2860-RANUS,Yes,Month-to-month,Credit card (automatic),Fiber optic,20,85.8,1727.5,Female,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
2862-JVEOY,No,One year,Mailed check,No,6,19.15,124.4,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2862-PFNIK,No,Month-to-month,Electronic check,DSL,1,24.7,24.7,Male,No,No,Yes,No,No phone service,No,No,No,No,No,No,Yes
2863-IMQDR,No,Two year,Electronic check,DSL,61,89.65,5308.7,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2865-TCHJW,Yes,Month-to-month,Electronic check,Fiber optic,4,89.2,346.2,Female,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
2866-IKBTM,No,Month-to-month,Mailed check,No,1,19.55,19.55,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2867-UIMSS,Yes,Month-to-month,Electronic check,Fiber optic,1,80.5,80.5,Male,No,No,No,Yes,No,No,No,No,No,No,Yes,No
2868-LLSKM,No,One year,Bank transfer (automatic),Fiber optic,68,83.65,5733.4,Female,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes
2868-MZAGQ,Yes,Month-to-month,Electronic check,Fiber optic,1,79.25,79.25,Male,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
2868-SNELZ,Yes,Month-to-month,Mailed check,Fiber optic,2,80.6,155.8,Female,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
2869-ADAWR,Yes,Month-to-month,Credit card (automatic),Fiber optic,45,89.3,4016.85,Female,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
2873-ZLIWT,Yes,Month-to-month,Electronic check,Fiber optic,40,84.85,3303.05,Female,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes
2874-YXVVA,No,Month-to-month,Electronic check,Fiber optic,34,105.1,3634.8,Female,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2876-GZYZC,No,Month-to-month,Electronic check,Fiber optic,13,85.95,1215.65,Female,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
2876-VBBBL,Yes,Month-to-month,Mailed check,No,1,20.25,20.25,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2877-VDUER,No,One year,Mailed check,DSL,35,40.9,1383.6,Female,No,Yes,Yes,No,No phone service,No,No,No,Yes,Yes,No,No
2878-DHMIN,No,One year,Electronic check,No,35,19.9,666.0,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2878-RMWXY,No,Two year,Credit card (automatic),Fiber optic,72,102.65,7550.3,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2880-FPNAE,No,Month-to-month,Electronic check,Fiber optic,2,74.2,140.1,Male,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
2882-DDZPG,No,Month-to-month,Bank transfer (automatic),No,12,19.45,227.45,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2882-WDTBA,No,Two year,Bank transfer (automatic),DSL,69,75.75,5388.15,Male,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
2883-ILGWO,No,Month-to-month,Bank transfer (automatic),Fiber optic,57,104.9,5913.95,Male,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2884-GBPFB,Yes,Month-to-month,Electronic check,Fiber optic,35,70.3,2416.55,Female,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
2885-HIJDH,No,Two year,Bank transfer (automatic),DSL,69,86.9,6194.1,Male,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
2886-KEFUM,Yes,One year,Electronic check,Fiber optic,63,107.5,6873.75,Female,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2887-JPYLU,No,Month-to-month,Bank transfer (automatic),DSL,41,45.2,1841.9,Female,No,No,Yes,Yes,No,No,No,No,No,No,No,No
2888-ADFAO,No,Two year,Bank transfer (automatic),No,47,21.3,1041.8,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2889-FPWRM,Yes,One year,Bank transfer (automatic),Fiber optic,72,117.8,8684.8,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2890-WFBHU,No,One year,Credit card (automatic),DSL,59,79.85,4786.1,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2892-GESUL,No,Two year,Mailed check,No,18,19.35,309.25,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2894-QOJRX,Yes,Month-to-month,Bank transfer (automatic),DSL,25,34.0,853.0,Female,No,Yes,No,No,No phone service,No,No,No,No,Yes,No,Yes
2896-TBNBE,No,One year,Electronic check,Fiber optic,40,80.8,3132.75,Male,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
2897-DOVND,No,Month-to-month,Electronic check,Fiber optic,2,69.8,146.65,Male,No,No,No,Yes,No,No,No,No,No,No,No,Yes
2898-LSJGD,Yes,One year,Electronic check,DSL,21,55.95,1157.05,Female,No,Yes,Yes,No,No phone service,Yes,No,Yes,No,Yes,Yes,Yes
2898-MRKPI,No,One year,Credit card (automatic),Fiber optic,68,101.05,6770.5,Male,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
2900-PHPLN,No,Two year,Credit card (automatic),No,70,19.55,1462.05,Female,Yes,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2903-YYTBW,No,Month-to-month,Electronic check,DSL,1,44.55,44.55,Male,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
2904-GGUAZ,No,Two year,Bank transfer (automatic),Fiber optic,72,84.05,6052.25,Female,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
2905-KFQUV,No,Month-to-month,Credit card (automatic),Fiber optic,2,70.4,154.8,Female,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
2907-ILJBN,No,One year,Mailed check,No,11,20.6,233.9,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2908-WGAXL,No,Two year,Credit card (automatic),No,56,24.95,1468.9,Female,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2908-ZTPNF,No,Month-to-month,Bank transfer (automatic),DSL,36,34.85,1267.2,Female,No,No,No,No,No phone service,No,Yes,No,Yes,No,No,Yes
2911-IJORQ,No,One year,Bank transfer (automatic),DSL,37,90.6,3358.65,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2911-UREFD,Yes,Month-to-month,Electronic check,DSL,39,55.9,2184.35,Female,No,Yes,No,No,No phone service,Yes,No,Yes,No,Yes,Yes,No
2911-WDXMV,No,Month-to-month,Credit card (automatic),Fiber optic,18,80.55,1406.65,Male,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes
2916-BQZLN,No,Month-to-month,Electronic check,Fiber optic,19,84.75,1651.95,Male,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
2919-HBCJO,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,4,76.65,333.6,Female,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes
2920-RNCEZ,No,Month-to-month,Credit card (automatic),Fiber optic,1,69.95,69.95,Male,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes
2921-XWDJH,No,Month-to-month,Electronic check,Fiber optic,38,83.45,3147.15,Female,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
2923-ARZLG,No,One year,Mailed check,No,0,19.7,,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2924-KHUVI,No,One year,Electronic check,Fiber optic,56,100.55,5514.95,Male,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
2925-MXLSX,No,One year,Credit card (automatic),DSL,30,68.95,2038.7,Female,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2925-VDZHY,No,Two year,Credit card (automatic),DSL,72,88.7,6501.35,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2926-JEJJC,No,One year,Bank transfer (automatic),No,8,20.2,140.95,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2927-CVULT,No,Two year,Bank transfer (automatic),Fiber optic,53,104.05,5566.4,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2927-QRRQV,No,One year,Electronic check,Fiber optic,46,94.65,4312.5,Male,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2928-HLDBA,No,Month-to-month,Mailed check,No,6,20.7,112.75,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2929-ERCFZ,Yes,Month-to-month,Electronic check,Fiber optic,8,94.2,777.3,Female,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
2929-QNSRW,Yes,One year,Electronic check,Fiber optic,56,98.25,5508.35,Female,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
2930-UOTMB,Yes,Month-to-month,Credit card (automatic),DSL,31,65.25,1994.3,Female,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
2931-FSOHN,No,Month-to-month,Electronic check,DSL,13,59.9,788.35,Male,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
2931-SVLTV,No,Month-to-month,Credit card (automatic),Fiber optic,40,110.1,4469.1,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2931-VUVJN,No,One year,Electronic check,Fiber optic,59,94.05,5483.9,Female,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
2931-XIQBR,No,One year,Mailed check,Fiber optic,50,103.05,5153.5,Female,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
2933-FILNV,Yes,Month-to-month,Mailed check,DSL,2,24.4,36.55,Female,No,Yes,Yes,No,No phone service,No,No,No,No,No,No,Yes
2933-XEUJM,No,Two year,Mailed check,DSL,46,79.2,3593.8,Female,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
2937-FTHUR,No,Month-to-month,Electronic check,DSL,18,64.8,1166.7,Female,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
2946-KIQSP,No,Month-to-month,Mailed check,DSL,35,33.45,1175.85,Female,No,No,No,No,No phone service,No,No,Yes,Yes,No,No,Yes
2947-DOMLJ,Yes,Month-to-month,Mailed check,DSL,1,50.6,50.6,Male,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
2951-QOQTK,Yes,Month-to-month,Credit card (automatic),Fiber optic,4,80.8,332.45,Male,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
2952-QAYZF,Yes,Month-to-month,Electronic check,Fiber optic,5,85.3,424.15,Male,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
2954-PIBKO,No,Two year,Credit card (automatic),DSL,69,64.15,4254.1,Female,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
2955-BJZHG,Yes,Month-to-month,Electronic check,Fiber optic,17,80.85,1400.85,Male,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
2955-PSXOE,Yes,Month-to-month,Bank transfer (automatic),No,1,20.2,20.2,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2956-GGUCQ,Yes,Month-to-month,Electronic check,Fiber optic,24,78.85,1772.25,Male,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes
2956-MHLSX,,Month-to-month,Electronic check,DSL,1,50.8,50.8,Male,No,No,No,Yes,No,No,Yes,No,No,No,No,No
2957-JIRMN,No,One year,Electronic check,Fiber optic,62,84.45,4959.15,Female,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No
2957-LOLHO,Yes,Month-to-month,Bank transfer (automatic),DSL,12,45.4,518.9,Male,No,No,No,Yes,No,No,No,No,No,No,No,Yes
2958-NHPPS,No,Month-to-month,Electronic check,No,23,20.85,473.9,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2959-EEXWB,No,Month-to-month,Bank transfer (automatic),DSL,45,50.9,2333.85,Female,No,Yes,Yes,No,No phone service,Yes,No,No,No,Yes,Yes,Yes
2959-FENLU,No,Month-to-month,Credit card (automatic),Fiber optic,9,85.3,781.4,Female,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes
2959-MJHIC,Yes,Month-to-month,Electronic check,Fiber optic,4,80.35,307.4,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
2960-NKRSO,No,Month-to-month,Electronic check,Fiber optic,24,85.95,2107.15,Male,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
2961-VNFKL,No,Two year,Credit card (automatic),No,71,25.95,1801.9,Female,No,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2962-XPMCQ,Yes,Month-to-month,Electronic check,DSL,2,45.15,98.5,Male,No,No,No,Yes,No,No,No,No,No,No,No,Yes
2967-MXRAV,No,One year,Mailed check,No,1,18.8,18.8,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2968-SSGAA,Yes,Month-to-month,Electronic check,Fiber optic,10,100.6,1060.2,Female,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
2969-QWUBZ,No,Month-to-month,Electronic check,DSL,2,51.4,96.8,Female,No,No,No,No,No phone service,No,Yes,No,No,Yes,Yes,No
2969-VAPYH,No,One year,Credit card (automatic),DSL,67,60.5,3870.0,Female,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
2969-WGHQO,No,One year,Electronic check,DSL,7,69.45,477.05,Female,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No
2971-SGAFL,No,Month-to-month,Electronic check,DSL,13,78.75,995.35,Female,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2972-YDYUW,No,One year,Electronic check,Fiber optic,57,94.7,5468.95,Female,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
2974-GGUXS,No,Month-to-month,Credit card (automatic),Fiber optic,36,91.95,3301.05,Female,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
2977-CEBSX,No,Two year,Credit card (automatic),DSL,66,90.05,5965.95,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2978-XXSOG,No,Month-to-month,Mailed check,DSL,22,59.05,1253.5,Female,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
2979-SXESE,Yes,Month-to-month,Electronic check,Fiber optic,17,94.4,1607.2,Female,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
2982-IHMFT,Yes,Month-to-month,Mailed check,Fiber optic,1,74.45,74.45,Female,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes
2982-VPSGI,Yes,Month-to-month,Electronic check,Fiber optic,11,94.0,1078.9,Female,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
2983-ZANRP,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,2,73.55,145.4,Female,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
2984-AFWNC,No,Month-to-month,Electronic check,Fiber optic,3,95.4,293.15,Female,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No
2984-MIIZL,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,4,74.8,321.9,Male,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
2984-RGEYA,No,Two year,Bank transfer (automatic),No,69,19.75,1375.4,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2984-TBYKU,No,Two year,Credit card (automatic),Fiber optic,72,104.9,7732.65,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2985-FMWYF,No,Month-to-month,Electronic check,Fiber optic,23,93.5,2341.55,Female,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
2985-JUUBZ,No,Month-to-month,Electronic check,DSL,40,74.55,3015.75,Male,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
2987-BJXIK,No,Two year,Mailed check,DSL,70,84.7,5991.05,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2988-GBIVW,No,Month-to-month,Electronic check,Fiber optic,70,90.85,6470.1,Female,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2988-PLAHS,No,One year,Electronic check,DSL,3,69.95,220.45,Female,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
2988-QRAJY,No,Two year,Credit card (automatic),Fiber optic,69,110.05,7430.75,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2990-HWIML,Yes,Month-to-month,Electronic check,Fiber optic,6,89.5,573.3,Female,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
2990-IAJSV,No,Two year,Bank transfer (automatic),DSL,72,92.0,6632.75,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2990-OGYTD,No,Two year,Bank transfer (automatic),DSL,67,86.15,5883.85,Female,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
2991-OKAXW,,One year,Mailed check,DSL,44,53.95,2375.4,Male,No,No,No,No,No phone service,No,Yes,Yes,No,Yes,Yes,Yes
2995-UPRYS,Yes,One year,Credit card (automatic),Fiber optic,40,99.2,4062.2,Female,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
2995-YWTCD,No,Two year,Bank transfer (automatic),No,19,24.9,467.7,Female,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2996-XAUVF,No,Two year,Mailed check,DSL,70,40.05,2799.75,Male,No,No,No,No,No phone service,No,No,No,Yes,No,Yes,Yes
2999-AANRQ,No,Two year,Credit card (automatic),DSL,21,71.05,1524.85,Female,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
3001-CBHLQ,Yes,Month-to-month,Electronic check,Fiber optic,32,104.9,3351.55,Male,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
3001-UNBTL,No,Month-to-month,Electronic check,Fiber optic,29,103.95,2964.8,Male,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
3002-WQZWT,No,Month-to-month,Electronic check,Fiber optic,29,74.2,1993.25,Female,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
3003-CMDUU,No,Month-to-month,Electronic check,Fiber optic,25,95.15,2395.7,Female,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
3005-NFMTA,Yes,Month-to-month,Electronic check,Fiber optic,55,98.8,5617.75,Male,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
3005-TYFRD,No,Month-to-month,Credit card (automatic),Fiber optic,55,103.65,5676.65,Female,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
3006-XIMLN,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,2,94.2,193.8,Female,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
3007-FDPEA,No,Month-to-month,Bank transfer (automatic),No,2,20.7,39.85,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
3007-KYUNZ,,Two year,Mailed check,No,19,25.6,485.9,Female,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3009-JWMPU,Yes,One year,Electronic check,Fiber optic,62,96.75,6125.4,Male,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
3011-WQKSZ,No,Month-to-month,Electronic check,No,19,20.0,377.55,Male,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
3012-OALWM,,Month-to-month,Electronic check,Fiber optic,9,75.6,661.55,Male,No,No,No,Yes,No,Yes,No,No,No,No,No,No
3012-VFFMN,No,Month-to-month,Mailed check,No,7,20.65,158.95,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3014-WJKSM,No,Month-to-month,Credit card (automatic),Fiber optic,29,75.3,2263.4,Male,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
3016-KSVCP,No,Month-to-month,Mailed check,DSL,29,33.75,1009.25,Male,No,Yes,No,No,No phone service,No,No,No,No,Yes,No,No
3018-DZHFE,,Month-to-month,Mailed check,No,1,19.55,19.55,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3018-TFTSU,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,12,81.7,858.6,Male,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No
3021-VLNRJ,No,One year,Credit card (automatic),DSL,50,70.8,3478.15,Female,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
3022-BEXHZ,No,Two year,Bank transfer (automatic),Fiber optic,67,111.2,7530.8,Male,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3023-GFLBR,Yes,Month-to-month,Credit card (automatic),Fiber optic,33,86.15,2745.7,Female,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
3026-ATZYV,No,One year,Bank transfer (automatic),DSL,37,75.1,2658.8,Female,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No
3027-YNWZU,No,Two year,Credit card (automatic),No,64,25.0,1584.8,Female,No,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3027-ZTDHO,Yes,Month-to-month,Electronic check,Fiber optic,1,89.9,89.9,Male,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
3030-YDNRM,No,Month-to-month,Electronic check,Fiber optic,8,74.85,572.45,Male,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
3030-YZADT,Yes,Month-to-month,Mailed check,DSL,9,44.95,431.0,Male,No,No,No,Yes,No,No,No,No,No,No,No,No
3030-ZKIWL,No,Month-to-month,Mailed check,No,1,20.05,20.05,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3034-ZBEQN,Yes,One year,Mailed check,DSL,48,34.7,1604.5,Female,No,Yes,No,No,No phone service,No,Yes,Yes,No,No,No,No
3038-PQIUY,No,Month-to-month,Bank transfer (automatic),DSL,38,66.15,2522.4,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
3039-MJSLN,No,Month-to-month,Bank transfer (automatic),No,3,20.2,50.6,Male,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3043-SUDUA,No,Month-to-month,Bank transfer (automatic),No,32,19.9,601.55,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3043-TYBNO,No,Month-to-month,Mailed check,DSL,3,60.65,196.9,Male,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No
3045-XETSH,Yes,Month-to-month,Electronic check,Fiber optic,10,94.85,953.45,Female,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
3049-NDXFL,Yes,Month-to-month,Mailed check,Fiber optic,1,85.8,85.8,Female,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
3049-SOLAY,Yes,Month-to-month,Electronic check,Fiber optic,3,95.2,292.85,Female,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
3050-GBUSH,No,Month-to-month,Credit card (automatic),DSL,3,34.8,113.95,Female,No,No,No,No,No phone service,No,No,No,No,Yes,No,Yes
3050-RLLXC,No,Two year,Credit card (automatic),DSL,56,81.25,4620.4,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
3055-MJDSB,No,Month-to-month,Mailed check,DSL,9,24.6,190.1,Male,No,No,No,No,No phone service,No,No,No,No,No,No,Yes
3055-OYMSE,No,Month-to-month,Credit card (automatic),Fiber optic,53,73.8,4003.85,Female,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes
3055-VTCGS,No,One year,Credit card (automatic),DSL,63,58.55,3503.5,Female,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
3057-VJJQE,No,Two year,Mailed check,DSL,35,55.25,1924.1,Male,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
3058-HJCUY,Yes,One year,Electronic check,Fiber optic,41,102.6,4213.35,Male,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
3058-WQDRE,No,Month-to-month,Bank transfer (automatic),DSL,13,25.15,331.85,Male,No,No,No,No,No phone service,No,No,No,No,No,No,Yes
3059-NGMXB,No,Month-to-month,Mailed check,DSL,14,69.2,944.65,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
3061-BCKYI,No,Month-to-month,Mailed check,No,14,19.9,283.75,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3062-ICYZQ,No,Month-to-month,Electronic check,Fiber optic,51,93.8,4539.35,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
3063-QFSZL,Yes,Month-to-month,Electronic check,DSL,1,55.4,55.4,Female,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
3066-RRJIO,Yes,Month-to-month,Mailed check,Fiber optic,1,69.95,69.95,Female,No,No,No,Yes,No,No,No,No,No,No,No,Yes
3067-SVMTC,No,One year,Bank transfer (automatic),DSL,68,55.9,3848.8,Female,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No
3068-OMWZA,Yes,Month-to-month,Electronic check,Fiber optic,1,88.8,88.8,Male,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
3069-SSVSN,No,One year,Mailed check,DSL,1,25.85,25.85,Female,No,No,No,No,No phone service,No,No,No,No,No,No,No
3070-BDOQC,No,Two year,Electronic check,Fiber optic,60,99.65,5941.05,Female,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
